"","country","scode","year","gdp","population","expectancy","polity2","cinc","meat_con_pc","gini","region"
"33","Albania","ALB",1992,652174990.8,3247039,71.802,5,0.0006135,43.82727273,23.86666667,"Europe"
"34","Albania","ALB",1993,1185315468,3227287,71.86,5,0.0006413,43.95280904,24.65,"Europe"
"35","Albania","ALB",1994,1880951520,3207536,71.992,5,0.0006439,43.47921345,25.43333333,"Europe"
"36","Albania","ALB",1995,2392764853,3187784,72.205,5,0.000556,44.22752804,26.21666667,"Europe"
"37","Albania","ALB",1996,3199641336,3168033,72.495,0,0.0005686,43.06404495,27,"Europe"
"38","Albania","ALB",1997,2258513974,3148281,72.838,5,0.0005676,43.12528088,27.78333333,"Europe"
"39","Albania","ALB",1998,2545964541,3128530,73.208,5,0.0003149,44.00505624,28.56666667,"Europe"
"40","Albania","ALB",1999,3212121651,3108778,73.588,5,0.0003038,44.39438217,29.35,"Europe"
"41","Albania","ALB",2000,3480355258,3089027,73.955,5,0.0005701,45.99555556,30.13333333,"Europe"
"42","Albania","ALB",2001,3922100794,3060173,74.286,5,0.0003858,45.67388884,30.91666667,"Europe"
"43","Albania","ALB",2002,4348068242,3051010,74.575,7,0.0003992,46.74999996,31.7,"Europe"
"44","Albania","ALB",2012,12319784886,2900401,77.389,9,0.0003094,57.51111114,29,"Europe"
"45","Argentina","ARG",1960,NA,20619075,65.022,-1,0.0067581,27.10127388,34.13333333,"Latin America"
"46","Argentina","ARG",1961,NA,20953077,65.141,-1,0.0068013,27.36878982,34.46666667,"Latin America"
"47","Argentina","ARG",1962,24450604878,21287682,65.233,-1,0.0068319,27.63630575,34.8,"Latin America"
"48","Argentina","ARG",1963,18272123664,21621840,65.311,-1,0.0068134,27.49426747,35.13333333,"Latin America"
"49","Argentina","ARG",1964,25605249382,21953929,65.388,-1,0.0068578,28.2535033,35.46666667,"Latin America"
"50","Argentina","ARG",1965,28344705967,22283390,65.481,-1,0.006999,28.644586,35.8,"Latin America"
"51","Argentina","ARG",1966,28630474728,22608748,65.603,-9,0.0068939,29.36369427,36.13333333,"Latin America"
"52","Argentina","ARG",1967,24256667553,22932203,65.76,-9,0.006574,29.88407646,36.46666667,"Latin America"
"53","Argentina","ARG",1968,26436857247,23261278,65.953,-9,0.0064259,30.84331204,36.8,"Latin America"
"54","Argentina","ARG",1969,31256284544,23605987,66.184,-9,0.0064217,31.33184711,37.13333333,"Latin America"
"55","Argentina","ARG",1970,31584210366,23973058,66.449,-9,0.0062268,32.58535025,37.46666667,"Latin America"
"56","Argentina","ARG",1971,33293199095,24366439,66.74,-9,0.0061449,33.05987248,37.8,"Latin America"
"57","Argentina","ARG",1972,34733000536,24782949,67.044,-9,0.0060026,33.233121,38.13333333,"Latin America"
"58","Argentina","ARG",1973,52544000117,25213388,67.349,6,0.0060082,32.98789811,38.46666667,"Latin America"
"59","Argentina","ARG",1974,72436777342,25644506,67.652,6,0.0059684,33.41783436,38.8,"Latin America"
"60","Argentina","ARG",1975,52438647922,26066975,67.95,6,0.0058829,34.43949054,39.13333333,"Latin America"
"61","Argentina","ARG",1976,51169499891,26477152,68.248,-9,0.0058499,35.68917187,39.46666667,"Latin America"
"62","Argentina","ARG",1977,56781000101,26878565,68.549,-9,0.0061343,35.49872618,39.8,"Latin America"
"63","Argentina","ARG",1978,58082870156,27277741,68.856,-9,0.0061692,37.6738853,40.13333333,"Latin America"
"64","Argentina","ARG",1979,69252328953,27684534,69.164,-9,0.0065483,39.23057324,40.46666667,"Latin America"
"65","Argentina","ARG",1980,76961923742,28105888,69.464,-9,0.0065317,39.87388535,40.8,"Latin America"
"66","Argentina","ARG",1981,78676842366,28543364,69.746,-8,0.0065189,39.48216583,41.13333333,"Latin America"
"67","Argentina","ARG",1982,84307486837,28993987,70.003,-8,0.0068102,40.28280257,41.46666667,"Latin America"
"68","Argentina","ARG",1983,1.04e+11,29454738,70.234,8,0.0063545,40.20573259,41.8,"Latin America"
"69","Argentina","ARG",1984,79092001998,29920904,70.438,8,0.0061097,40.910828,42.13333333,"Latin America"
"70","Argentina","ARG",1985,88416668900,30388783,70.623,8,0.0057769,40.96687898,42.46666667,"Latin America"
"71","Argentina","ARG",1986,1.11e+11,30857244,70.797,8,0.0054862,41.07898078,42.8,"Latin America"
"72","Argentina","ARG",1987,1.11e+11,31326473,70.971,8,0.0056297,41.47579619,45.3,"Latin America"
"73","Argentina","ARG",1988,1.26e+11,31795517,71.155,8,0.0054717,41.5089171,45.675,"Latin America"
"74","Argentina","ARG",1989,76636898036,32263561,71.352,7,0.0055138,41.44076427,46.05,"Latin America"
"75","Argentina","ARG",1990,1.41e+11,32729739,71.565,7,0.0052983,42.28407654,46.425,"Latin America"
"76","Argentina","ARG",1991,1.9e+11,33193918,71.79,7,0.0056911,42.82038227,46.8,"Latin America"
"77","Argentina","ARG",1992,2.29e+11,33655151,72.023,7,0.0056696,43.82727273,45.5,"Latin America"
"78","Argentina","ARG",1993,2.37e+11,34110917,72.256,7,0.0055883,43.95280904,44.9,"Latin America"
"79","Argentina","ARG",1994,2.57e+11,34558115,72.489,7,0.0057977,43.47921345,45.9,"Latin America"
"80","Argentina","ARG",1995,2.58e+11,34994814,72.719,7,0.0058109,44.22752804,48.9,"Latin America"
"81","Argentina","ARG",1996,2.72e+11,35419682,72.947,7,0.0060239,43.06404495,49.5,"Latin America"
"82","Argentina","ARG",1997,2.93e+11,35833969,73.173,7,0.0060907,43.12528088,49.1,"Latin America"
"83","Argentina","ARG",1998,2.99e+11,36241590,73.397,7,0.006269,44.00505624,50.7,"Latin America"
"84","Argentina","ARG",1999,2.84e+11,36648068,73.618,8,0.0061934,44.39438217,49.8,"Latin America"
"85","Argentina","ARG",2000,2.84e+11,37057452,73.832,8,0.0060208,45.99555556,51.1,"Latin America"
"86","Argentina","ARG",2001,2.69e+11,37471509,74.039,8,0.0058242,45.67388884,53.3,"Latin America"
"87","Argentina","ARG",2002,97724004252,37889370,74.236,8,0.0058882,46.74999996,53.8,"Latin America"
"88","Argentina","ARG",2012,5.46e+11,42096739,75.926,8,0.0056534,57.51111114,41.2,"Latin America"
"89","Armenia","ARM",1991,2068526522,3505251,67.87,7,0.0004791,42.82038227,39.4,"Middle East"
"90","Armenia","ARM",1992,1272577456,3442810,67.99,7,0.0004889,43.82727273,39,"Middle East"
"91","Armenia","ARM",1993,1201313201,3363098,68.218,7,0.0004907,43.95280904,38.6,"Middle East"
"92","Armenia","ARM",1994,1315158670,3283660,68.538,7,0.000754,43.47921345,38.2,"Middle East"
"93","Armenia","ARM",1995,1468317350,3217342,68.938,3,0.0007623,44.22752804,37.8,"Middle East"
"94","Armenia","ARM",1996,1596968913,3168215,69.404,-6,0.0007744,43.06404495,37.4,"Middle East"
"95","Armenia","ARM",1997,1639492424,3133086,69.912,-6,0.0007735,43.12528088,37,"Middle East"
"96","Armenia","ARM",1998,1893726437,3108684,70.434,5,0.0007036,44.00505624,36.6,"Middle East"
"97","Armenia","ARM",1999,1845482181,3089017,70.944,5,0.0006818,44.39438217,36.2,"Middle East"
"98","Armenia","ARM",2000,1911563665,3069588,71.409,5,0.0007057,45.99555556,35.8,"Middle East"
"99","Armenia","ARM",2001,2118467913,3050655,71.8,5,0.0006987,45.67388884,35.4,"Middle East"
"100","Armenia","ARM",2002,2376335048,3033897,72.112,5,0.0007098,46.74999996,34.8,"Middle East"
"101","Armenia","ARM",2012,10619320049,2881922,73.814,5,0.0006372,57.51111114,29.6,"Middle East"
"102","Azerbaijan","AZE",1991,8226390167,7271000,64.745,-3,0.0008929,42.82038227,33.5,"Middle East"
"103","Azerbaijan","AZE",1992,4970536337,7382000,64.731,1,0.0013399,43.82727273,33.8,"Middle East"
"104","Azerbaijan","AZE",1993,3970953396,7495000,64.81,-3,0.0012292,43.95280904,34.1,"Middle East"
"105","Azerbaijan","AZE",1994,3313939554,7597000,64.991,-3,0.0011936,43.47921345,34.4,"Middle East"
"106","Azerbaijan","AZE",1995,3052467522,7685000,65.256,-6,0.0013337,44.22752804,34.7,"Middle East"
"107","Azerbaijan","AZE",1996,3176703092,7763000,65.573,-6,0.0013457,43.06404495,35,"Middle East"
"108","Azerbaijan","AZE",1997,3962735257,7838250,65.899,-6,0.00131,43.12528088,35.3,"Middle East"
"109","Azerbaijan","AZE",1998,4446370371,7913000,66.207,-7,0.001297,44.00505624,35.6,"Middle East"
"110","Azerbaijan","AZE",1999,4581246713,7982750,66.491,-7,0.0013057,44.39438217,35.9,"Middle East"
"111","Azerbaijan","AZE",2000,5272617196,8048600,66.763,-7,0.0013958,45.99555556,36.2,"Middle East"
"112","Azerbaijan","AZE",2001,5707720391,8111200,67.054,-7,0.0014369,45.67388884,36.5,"Middle East"
"113","Azerbaijan","AZE",2002,6235856820,8171950,67.391,-7,0.0014796,46.74999996,17.4,"Middle East"
"114","Azerbaijan","AZE",2012,69683935845,9295784,71.478,-7,0.0014056,57.51111114,19.4,"Middle East"
"115","Belarus","BLR",1991,1.8e+10,10194000,70.37804878,7,0.0022595,42.82038227,34.1,"Europe"
"116","Belarus","BLR",1992,17037037037,10216000,70.02195122,7,0.0029166,43.82727273,33.8,"Europe"
"117","Belarus","BLR",1993,16280991736,10239000,68.97073171,7,0.0026898,43.95280904,33.5,"Europe"
"118","Belarus","BLR",1994,14932024169,10227000,68.76829268,7,0.0021848,43.47921345,33.2,"Europe"
"119","Belarus","BLR",1995,13972676841,10194000,68.46097561,0,0.0021041,44.22752804,32.9,"Europe"
"120","Belarus","BLR",1996,14756846154,10160000,68.51219512,-7,0.0020915,43.06404495,32.6,"Europe"
"121","Belarus","BLR",1997,14128408566,10117000,68.46097561,-7,0.0020502,43.12528088,32.3,"Europe"
"122","Belarus","BLR",1998,15222012660,10069000,68.40731707,-7,0.0017704,44.00505624,32,"Europe"
"123","Belarus","BLR",1999,12138486532,10026738,67.90731707,-7,0.0022422,44.39438217,31.7,"Europe"
"124","Belarus","BLR",2000,12736856828,9979610,68.91219512,-7,0.0025812,45.99555556,31.2,"Europe"
"125","Belarus","BLR",2001,12354820144,9928549,68.50731707,-7,0.0025387,45.67388884,30.6,"Europe"
"126","Belarus","BLR",2002,14594249023,9865548,68.05609756,-7,0.0025338,46.74999996,30.3,"Europe"
"127","Belarus","BLR",2012,65685102555,9464495,71.96585366,-7,0.0019837,57.51111114,26.5,"Europe"
"128","Belgium","BEL",1960,11658722591,9153489,69.70195122,10,0.0072474,27.10127388,-75.1,"Europe"
"129","Belgium","BEL",1961,12400145222,9183948,70.52097561,10,0.0070954,27.36878982,-72.7,"Europe"
"130","Belgium","BEL",1962,13264015675,9220578,70.2195122,10,0.0070632,27.63630575,-70.3,"Europe"
"131","Belgium","BEL",1963,14260017387,9289770,70.05146341,10,0.006993,27.49426747,-67.9,"Europe"
"132","Belgium","BEL",1964,15960106681,9378113,70.75512195,10,0.0070917,28.2535033,-65.5,"Europe"
"133","Belgium","BEL",1965,17371457608,9463667,70.62536585,10,0.0070624,28.644586,-63.1,"Europe"
"134","Belgium","BEL",1966,18651883472,9527807,70.70634146,10,0.0065908,29.36369427,-60.7,"Europe"
"135","Belgium","BEL",1967,19992040788,9580991,71.01292683,10,0.0066709,29.88407646,-58.3,"Europe"
"136","Belgium","BEL",1968,21376353113,9618756,70.69317073,10,0.0071781,30.84331204,-55.9,"Europe"
"137","Belgium","BEL",1969,23710735895,9646032,70.76487805,10,0.0073097,31.33184711,-53.5,"Europe"
"138","Belgium","BEL",1970,26849148286,9655549,70.97195122,10,0.0069501,32.58535025,-51.1,"Europe"
"139","Belgium","BEL",1971,29981290025,9673162,71.0604878,10,0.0069667,33.05987248,-48.7,"Europe"
"140","Belgium","BEL",1972,37408591330,9711115,71.40512195,10,0.0074495,33.233121,-46.3,"Europe"
"141","Belgium","BEL",1973,47999363072,9741720,71.63536585,10,0.0074047,32.98789811,-43.9,"Europe"
"142","Belgium","BEL",1974,56333010460,9772419,71.98585366,10,0.0073481,33.41783436,-41.5,"Europe"
"143","Belgium","BEL",1975,66029748931,9800700,71.97121951,10,0.006466,34.43949054,-39.1,"Europe"
"144","Belgium","BEL",1976,71494539498,9818227,72.1197561,10,0.0064536,35.68917187,-36.7,"Europe"
"145","Belgium","BEL",1977,83283328419,9830358,72.77390244,10,0.0064562,35.49872618,-34.3,"Europe"
"146","Belgium","BEL",1978,1.02e+11,9839534,72.69804878,10,0.0066292,37.6738853,-31.9,"Europe"
"147","Belgium","BEL",1979,1.17e+11,9848382,73.19365854,10,0.0067073,39.23057324,-29.5,"Europe"
"148","Belgium","BEL",1980,1.28e+11,9859242,73.20707317,10,0.0064708,39.87388535,-27.1,"Europe"
"149","Belgium","BEL",1981,1.05e+11,9858982,73.62170732,10,0.0061847,39.48216583,-24.7,"Europe"
"150","Belgium","BEL",1982,92588895020,9856303,73.88804878,10,0.0055936,40.28280257,-22.3,"Europe"
"151","Belgium","BEL",1983,87650915976,9855520,73.86902439,10,0.0053167,40.20573259,-19.9,"Europe"
"152","Belgium","BEL",1984,83795680815,9855372,74.40487805,10,0.0053019,40.910828,-17.5,"Europe"
"153","Belgium","BEL",1985,86730038793,9858308,74.5202439,10,0.0049202,40.96687898,-15.1,"Europe"
"154","Belgium","BEL",1986,1.21e+11,9861823,74.73170732,10,0.0049445,41.07898078,-12.7,"Europe"
"155","Belgium","BEL",1987,1.5e+11,9870234,75.36585366,10,0.0049726,41.47579619,-10.3,"Europe"
"156","Belgium","BEL",1988,1.63e+11,9901664,75.56585366,10,0.0049327,41.5089171,-7.9,"Europe"
"157","Belgium","BEL",1989,1.65e+11,9937697,75.63268293,10,0.0049745,41.44076427,-5.5,"Europe"
"158","Belgium","BEL",1990,2.06e+11,9967379,76.05195122,10,0.0050293,42.28407654,-3.1,"Europe"
"159","Belgium","BEL",1991,2.12e+11,10004486,76.19219512,10,0.0053882,42.82038227,-0.7,"Europe"
"160","Belgium","BEL",1992,2.36e+11,10045158,76.35121951,10,0.0051323,43.82727273,1.7,"Europe"
"161","Belgium","BEL",1993,2.26e+11,10084475,76.34536585,10,0.0051837,43.95280904,4.1,"Europe"
"162","Belgium","BEL",1994,2.46e+11,10115603,76.69170732,10,0.0052419,43.47921345,6.5,"Europe"
"163","Belgium","BEL",1995,2.9e+11,10136811,76.84073171,10,0.005204,44.22752804,8.9,"Europe"
"164","Belgium","BEL",1996,2.81e+11,10156637,77.18731707,10,0.0050548,43.06404495,11.3,"Europe"
"165","Belgium","BEL",1997,2.55e+11,10181245,77.37073171,10,0.0048068,43.12528088,13.7,"Europe"
"166","Belgium","BEL",1998,2.61e+11,10203008,77.47317073,10,0.0050549,44.00505624,16.1,"Europe"
"167","Belgium","BEL",1999,2.6e+11,10226419,77.6195122,10,0.0047708,44.39438217,18.5,"Europe"
"168","Belgium","BEL",2000,2.38e+11,10251250,77.72195122,10,0.0046722,45.99555556,20.9,"Europe"
"169","Belgium","BEL",2001,2.38e+11,10286570,77.97317073,10,0.0044009,45.67388884,23.3,"Europe"
"170","Belgium","BEL",2002,2.59e+11,10332785,78.07560976,10,0.0046968,46.74999996,25.7,"Europe"
"171","Belgium","BEL",2012,4.98e+11,11128246,80.38536585,8,0.0029283,57.51111114,27.5,"Europe"
"172","Benin","BEN",1960,226195579.4,2431622,37.271,2,0.0001281,27.10127388,12.8,"Africa"
"173","Benin","BEN",1961,235668222.4,2465867,37.727,2,0.0001202,27.36878982,13.4,"Africa"
"174","Benin","BEN",1962,236434906.8,2502896,38.188,2,0.0001615,27.63630575,14,"Africa"
"175","Benin","BEN",1963,253927646.5,2542859,38.655,-1,0.00017,27.49426747,14.6,"Africa"
"176","Benin","BEN",1964,269818988.3,2585965,39.13,-4,0.0001717,28.2535033,15.2,"Africa"
"177","Benin","BEN",1965,289908720.6,2632356,39.615,-7,0.0001738,28.644586,15.8,"Africa"
"178","Benin","BEN",1966,302925280.8,2682159,40.109,-7,0.0001729,29.36369427,16.4,"Africa"
"179","Benin","BEN",1967,306222000.4,2735307,40.61,-7,0.0001825,29.88407646,17,"Africa"
"180","Benin","BEN",1968,326323097.4,2791590,41.117,-7,0.0001867,30.84331204,17.6,"Africa"
"181","Benin","BEN",1969,330748211.5,2850661,41.63,-7,0.0001852,31.33184711,18.2,"Africa"
"182","Benin","BEN",1970,333627758.2,2912340,42.152,-2,0.0002058,32.58535025,18.8,"Africa"
"183","Benin","BEN",1971,335072975.2,2976572,42.684,-2,0.0002225,33.05987248,19.4,"Africa"
"184","Benin","BEN",1972,410331901,3043567,43.229,-7,0.0002254,33.233121,20,"Africa"
"185","Benin","BEN",1973,504376035.7,3113675,43.781,-7,0.000236,32.98789811,20.6,"Africa"
"186","Benin","BEN",1974,554654787,3187412,44.337,-7,0.0002394,33.41783436,21.2,"Africa"
"187","Benin","BEN",1975,676870140.3,3265165,44.882,-7,0.0002373,34.43949054,21.8,"Africa"
"188","Benin","BEN",1976,698408244.4,3347173,45.399,-7,0.0002431,35.68917187,22.4,"Africa"
"189","Benin","BEN",1977,750049739.2,3433439,45.883,-7,0.0002448,35.49872618,23,"Africa"
"190","Benin","BEN",1978,928843304.8,3523938,46.335,-7,0.0002639,37.6738853,23.6,"Africa"
"191","Benin","BEN",1979,1186231265,3618526,46.764,-7,0.0002656,39.23057324,24.2,"Africa"
"192","Benin","BEN",1980,1405251547,3717165,47.19,-7,0.0002749,39.87388535,24.8,"Africa"
"193","Benin","BEN",1981,1291119965,3820128,47.643,-7,0.0002936,39.48216583,25.4,"Africa"
"194","Benin","BEN",1982,1267778489,3927714,48.145,-7,0.0002995,40.28280257,26,"Africa"
"195","Benin","BEN",1983,1095348303,4039949,48.71,-7,0.0003049,40.20573259,26.6,"Africa"
"196","Benin","BEN",1984,1051133927,4156819,49.339,-7,0.0003073,40.910828,27.2,"Africa"
"197","Benin","BEN",1985,1045712703,4278501,50.034,-7,0.0003136,40.96687898,27.8,"Africa"
"198","Benin","BEN",1986,1336102041,4404506,50.79,-7,0.0003075,41.07898078,28.4,"Africa"
"199","Benin","BEN",1987,1562412030,4535263,51.581,-7,0.0003105,41.47579619,29,"Africa"
"200","Benin","BEN",1988,1620246187,4672852,52.372,-7,0.000322,41.5089171,29.6,"Africa"
"201","Benin","BEN",1989,1502294411,4820016,53.132,-7,0.0003286,41.44076427,30.2,"Africa"
"202","Benin","BEN",1990,1959965244,4978496,53.812,0,0.0003348,42.28407654,30.8,"Africa"
"203","Benin","BEN",1991,1986437860,5149499,54.366,6,0.0003536,42.82038227,31.4,"Africa"
"204","Benin","BEN",1992,1695315306,5331803,54.776,6,0.0003632,43.82727273,32,"Africa"
"205","Benin","BEN",1993,2274557914,5521763,55.042,6,0.0004291,43.95280904,32.6,"Africa"
"206","Benin","BEN",1994,1598075932,5714220,55.174,6,0.0003605,43.47921345,33.2,"Africa"
"207","Benin","BEN",1995,2169627251,5905558,55.203,6,0.00036,44.22752804,33.8,"Africa"
"208","Benin","BEN",1996,2361116588,6094259,55.17,6,0.0003601,43.06404495,34.4,"Africa"
"209","Benin","BEN",1997,2268301538,6281639,55.133,6,0.0003601,43.12528088,35,"Africa"
"210","Benin","BEN",1998,2455092582,6470265,55.139,6,0.0003567,44.00505624,35.6,"Africa"
"211","Benin","BEN",1999,2689787918,6664098,55.218,6,0.0003555,44.39438217,36.2,"Africa"
"212","Benin","BEN",2000,2569186643,6865951,55.391,6,0.0003267,45.99555556,36.8,"Africa"
"213","Benin","BEN",2001,2680213931,7076733,55.668,6,0.0003395,45.67388884,37.4,"Africa"
"214","Benin","BEN",2002,3054571082,7295394,56.025,6,0.0003754,46.74999996,38,"Africa"
"215","Benin","BEN",2012,8152554487,9729160,59.855,7,0.0004167,57.51111114,44.5,"Africa"
"216","Bolivia","BOL",1960,373879363.6,3693449,42.138,-3,0.0004663,27.10127388,-27.42857143,"Latin America"
"217","Bolivia","BOL",1961,406684585.7,3764813,42.454,-3,0.0005279,27.36878982,-25.11428571,"Latin America"
"218","Bolivia","BOL",1962,444665186.4,3838097,42.778,-3,0.0005227,27.63630575,-22.8,"Latin America"
"219","Bolivia","BOL",1963,478805990.1,3913395,43.11,-3,0.0004877,27.49426747,-20.48571429,"Latin America"
"220","Bolivia","BOL",1964,539491477.3,3990857,43.451,-4,0.0004972,28.2535033,-18.17142857,"Latin America"
"221","Bolivia","BOL",1965,604377104.4,4070590,43.8,-4,0.0005337,28.644586,-15.85714286,"Latin America"
"222","Bolivia","BOL",1966,669191919.2,4152668,44.157,-4,0.0005979,29.36369427,-13.54285714,"Latin America"
"223","Bolivia","BOL",1967,755808080.8,4237125,44.523,-4,0.0005816,29.88407646,-11.22857143,"Latin America"
"224","Bolivia","BOL",1968,857912457.9,4324064,44.898,-4,0.0005435,30.84331204,-8.914285714,"Latin America"
"225","Bolivia","BOL",1969,929629629.6,4413590,45.28,-4,0.0005712,31.33184711,-6.6,"Latin America"
"226","Bolivia","BOL",1970,1017003367,4505778,45.671,-5,0.0005577,32.58535025,-4.285714286,"Latin America"
"227","Bolivia","BOL",1971,1095622896,4600591,46.07,-7,0.0005686,33.05987248,-1.971428571,"Latin America"
"228","Bolivia","BOL",1972,1257615645,4698083,46.477,-7,0.0005721,33.233121,0.342857143,"Latin America"
"229","Bolivia","BOL",1973,1262968516,4798509,46.892,-7,0.0005811,32.98789811,2.657142857,"Latin America"
"230","Bolivia","BOL",1974,2100249875,4902168,47.315,-7,0.0005942,33.41783436,4.971428571,"Latin America"
"231","Bolivia","BOL",1975,2404697651,5009257,47.745,-7,0.0006274,34.43949054,7.285714286,"Latin America"
"232","Bolivia","BOL",1976,2731984008,5119833,48.183,-7,0.0006689,35.68917187,9.6,"Latin America"
"233","Bolivia","BOL",1977,3227436282,5233677,48.629,-7,0.0006589,35.49872618,11.91428571,"Latin America"
"234","Bolivia","BOL",1978,3758220890,5350322,49.082,-4,0.0006678,37.6738853,14.22857143,"Latin America"
"235","Bolivia","BOL",1979,4421343606,5469123,49.543,-4,0.000683,39.23057324,16.54285714,"Latin America"
"236","Bolivia","BOL",1980,4526916803,5589575,50.012,-7,0.0007232,39.87388535,18.85714286,"Latin America"
"237","Bolivia","BOL",1981,5872756933,5711599,50.489,-7,0.0007458,39.48216583,21.17142857,"Latin America"
"238","Bolivia","BOL",1982,5587490265,5835182,50.974,8,0.0007717,40.28280257,23.48571429,"Latin America"
"239","Bolivia","BOL",1983,5422440962,5959960,51.466,8,0.0007572,40.20573259,25.8,"Latin America"
"240","Bolivia","BOL",1984,6169501038,6085496,51.965,8,0.0007662,40.910828,28.11428571,"Latin America"
"241","Bolivia","BOL",1985,5377277407,6211550,52.472,9,0.0007623,40.96687898,30.42857143,"Latin America"
"242","Bolivia","BOL",1986,3958338883,6337893,52.986,9,0.0007489,41.07898078,32.74285714,"Latin America"
"243","Bolivia","BOL",1987,4323623622,6464732,53.507,9,0.0007697,41.47579619,35.05714286,"Latin America"
"244","Bolivia","BOL",1988,4597615563,6592787,54.034,9,0.0007557,41.5089171,37.37142857,"Latin America"
"245","Bolivia","BOL",1989,4715978868,6723046,54.566,9,0.0007777,41.44076427,39.68571429,"Latin America"
"246","Bolivia","BOL",1990,4867582620,6856244,55.104,9,0.0007814,42.28407654,42,"Latin America"
"247","Bolivia","BOL",1991,5343274312,6992521,55.647,9,0.0008297,42.82038227,44.31428571,"Latin America"
"248","Bolivia","BOL",1992,5643893347,7131707,56.195,9,0.0008481,43.82727273,46.62857143,"Latin America"
"249","Bolivia","BOL",1993,5734676561,7273825,56.747,9,0.000859,43.95280904,48.94285714,"Latin America"
"250","Bolivia","BOL",1994,5981244887,7418861,57.303,9,0.0008477,43.47921345,51.25714286,"Latin America"
"251","Bolivia","BOL",1995,6715220507,7566714,57.862,9,0.0008534,44.22752804,53.57142857,"Latin America"
"252","Bolivia","BOL",1996,7396966657,7717443,58.423,9,0.0009069,43.06404495,55.88571429,"Latin America"
"253","Bolivia","BOL",1997,7925673448,7870855,58.987,9,0.0009079,43.12528088,58.2,"Latin America"
"254","Bolivia","BOL",1998,8497545598,8026254,59.554,9,0.0009409,44.00505624,58.15,"Latin America"
"255","Bolivia","BOL",1999,8285075872,8182712,60.122,9,0.0009462,44.39438217,58.1,"Latin America"
"256","Bolivia","BOL",2000,8397912509,8339512,60.69,9,0.0009471,45.99555556,61.6,"Latin America"
"257","Bolivia","BOL",2001,8141537938,8496375,61.26,9,0.0009904,45.67388884,57.4,"Latin America"
